ec_id	go_id
1.14.14.114	GO:0062150
1.14.14.115	GO:0102375
1.14.14.116	GO:0140395
1.14.14.117	GO:0140399
1.14.14.12	GO:0036383
1.14.14.120	GO:0102556
1.14.14.121	GO:0102557
1.14.14.122	GO:0102597
1.14.14.123	GO:0102598
1.14.14.126	GO:0102373,GO:0102374
1.14.14.135	GO:0033769
1.14.14.136	GO:0033775
1.14.14.137	GO:0010295
1.14.14.138	GO:0033777
1.14.14.139	GO:0008397
1.14.14.141	GO:0102876
1.14.14.143	GO:0052582
1.14.14.144	GO:0036189
1.14.14.145	GO:0036204
1.14.14.147	GO:0102097,GO:0102136
1.14.14.148	GO:0102995
1.14.14.149	GO:0102170
1.14.14.150	GO:0102934
1.14.14.152	GO:0102289,GO:0102290,GO:0102291
1.14.14.153	GO:0036190
1.14.14.154	GO:0008398
1.14.14.157	GO:0036191
1.14.14.158	GO:0009974
1.14.14.16	GO:0004509
1.14.14.162	GO:0033771
1.14.14.164	GO:0106144
1.14.14.165	GO:0106149
1.14.14.169	GO:0106244
1.14.14.17	GO:0004506
1.14.14.176	GO:0050604
1.14.14.18	GO:0004392
1.14.14.182	GO:0036239
1.14.14.19	GO:0004508
1.14.14.23	GO:0008123
1.14.14.25	GO:0033781
1.14.14.26	GO:0033782
1.14.14.29	GO:0033783,GO:0047092
1.14.14.3	GO:0047646
1.14.14.37	GO:0050592
1.14.14.38	GO:0102002
1.14.14.39	GO:0102001
1.14.14.40	GO:0102684
1.14.14.5	GO:0008726
1.14.14.51	GO:0018675
1.14.14.52	GO:0018676
1.14.14.53	GO:0052741
1.14.14.55	GO:0050591
1.14.14.56	GO:0102320
1.14.14.57	GO:0033780
1.14.14.63	GO:0102601
1.14.14.70	GO:0102596
1.14.14.76	GO:0036201
1.14.14.80	GO:0102033
1.14.14.81	GO:0033772
1.14.14.82	GO:0016711
1.14.14.83	GO:0102811
1.14.14.84	GO:0050056
1.14.14.85	GO:0050595,GO:0140989
1.14.14.86	GO:0052615,GO:0052616,GO:0052617
1.14.14.87	GO:0033770
1.14.14.88	GO:0048000
1.14.14.89	GO:0047957
1.14.14.9	GO:0052881
1.14.14.90	GO:0033773
1.14.14.91	GO:0016710
1.14.14.92	GO:0018664
1.14.14.93	GO:0047082
1.14.14.94	GO:0050051
1.14.14.95	GO:0106223
1.14.14.96	GO:0047083
1.14.14.97	GO:0047084
1.14.14.98	GO:0047087
1.14.14.99	GO:0018674
1.14.15.1	GO:0018683
1.14.15.15	GO:0047103,GO:0047749
1.14.15.17	GO:0032441
1.14.15.18	GO:0004498
