reaction_id	kegg_orthologs	kegg_ec
R00444		2.7.7.6,2.7.7.48
R05654		1.14.13.-
R03799		2.5.1.35
R07299	K01109	3.1.3.66
R08273		3.1.2.-
R09557	K15515	1.2.1.81
R01797	K01521	3.6.1.26
R05740	K08262	1.14.19.39
R12739		2.4.1.377
R02665	K00452	1.13.11.6
R05621	K05549,K05550,K05784	1.14.12.10
R01175	K00232,K00248,K00249,K06445,K09478	1.3.3.6,1.3.8.1,1.3.8.7,1.3.99.-
R08253		
R00727	K01899,K01900	6.2.1.4
R02911	K00669,K22450	2.3.1.87
R10622		3.1.3.94
R07993	K00475	1.14.11.9
R00388		1.3.3.6
R02341		3.2.2.1
R01518	K01834,K01837,K15633,K15634,K15635	5.4.2.11,5.4.2.12
R02119	K13494	2.4.2.40
R02222	K00507	1.14.19.1
R09219		1.6.5.-
R07256		2.4.1.13
R08333		
R08249	K01044	3.1.1.1,3.5.1.-
R11450	K11628	2.3.1.111
R05454		
R03983		2.3.2.13
R06634	K16423	2.6.1.103
R09278	K15063	
R05315		1.1.1.166
R03456		2.1.1.83
R05725		1.14.12.17
R03075	K09756	2.3.1.91
R05559	K03382	3.5.4.43
R08316		
R01931	K01011,K02439	2.8.1.1
R08294	K07409,K17689	1.14.14.1,1.14.14.-
R09450	K01068,K16339,K17360,K22554	3.1.2.2
R09090		
R12672		3.1.7.13
R02595		3.2.1.126
R00806	K00695	2.4.1.13
R08345	K17712	1.14.14.1
R09955	K01822	5.3.3.1
R03410		2.1.1.16
R02401	K00135	1.2.1.20
R09341	K15928	
R08854	K12645	1.14.15.39
R04092		
R03278		1.1.1.174
R05410		1.13.11.-
R05078		4.2.1.-
R08684		1.14.13.-
R03770		2.7.1.119
R03406	K05296	1.1.1.51
R04014	K01071,K10781,K21791	3.1.2.14,3.1.2.21
R12420	K23668	1.5.3.-
R06956		
R06731		6.2.1.-
R10697	K18312	5.3.99.7
R12408	K23670	1.14.99.-
R05391		5.5.1.7
R04463	K01952,K23264,K23265,K23269,K23270	6.3.5.3
R06974	K08289	6.3.1.21
R11236	K20434	
R11771	K22232	3.7.1.-
R05693	K16843	1.1.1.310
R09293	K14448	1.3.8.12
R09390		1.14.13.105
R02098	K00943	2.7.4.4,2.7.4.9
R12924		1.14.13.250
R01249	K19742,K19743	1.5.1.1,1.5.1.21,1.5.1.49
R03736		1.10.3.6
R12590	K24327	6.3.5.-
R04026		3.5.2.-
R09608	K15798	4.2.3.50
R10531	K06857,K15497	7.3.2.6
R06047		2.4.1.188
R05387	K15236	4.5.1.-
R05335		
R10406		
R09766	K02527	2.4.99.15
R08511		2.5.1.18
R06448	K15988,K24555,K24556,K24557,K24558	
R01150	K01921	6.3.2.4
R11463	K20261	3.3.2.15
R04602		1.13.11.36
R12870	K22710	2.4.1.70
R01188		2.1.1.40
R09700	K15823	4.2.1.124
R12851	K01756	4.3.2.2
R05971	K03766	2.4.1.206
R10906	K12974	2.3.1.242
R10587	K15451	2.3.1.231
R03273		3.1.3.44
R02889	K00694	2.4.1.12
R01176	K01896,K01913,K23756	6.2.1.2
R02024	K00525,K00526,K10807,K10808	1.17.4.1
R03767		2.3.1.60,2.3.1.81
R11866		5.4.4.8
R10362	K18389	1.14.13.-
R09110		
R00772		5.3.1.8
R06815	K13272	2.1.1.267
R01795	K00500	1.14.16.1
R02103	K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483	1.17.1.4
R09211		3.3.2.-
R09511		1.14.11.27,1.14.11.65,1.14.11.67
R09195	K14244	6.3.5.-
R07257		2.4.1.54
R00942	K01930,K11754,K22099	6.3.2.17
R07184		1.14.11.12
R02757	K09881	2.7.1.94
R05303	K18062	
R09625	K15797	5.5.1.17
R09807		1.1.3.42
R04155		
R04060	K14256	1.14.13.38
R00075	K05953	2.5.1.43
R09524		2.3.1.190
R05470		
R03175		
R03749	K00682,K22596	4.3.2.9
R07917	K12729	2.1.1.158
R08030		
R09844	K05954,K05955	2.5.1.58
R09783	K17819	1.2.1.82
R00689	K03334	1.4.3.2
R07193		1.14.13.54
R03073	K19105	5.1.1.14
R12544		1.14.99.46
R00145		1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4,1.4.1.5,1.4.1.7,1.4.1.8,1.4.1.9,1.4.1.10,1.4.1.12,1.4.1.15,1.4.1.19,1.4.1.20
R05940	K03371	2.4.3.8
R06024	K00718	2.4.1.69
R09845	K06013,K08658	3.4.22.-,3.4.24.84
R07724	K13262	2.1.1.150
R05682		1.1.1.263
R12129		1.14.14.95
R03916	K00681,K18592	2.3.2.2
R09626	K15809	4.2.3.67
R07549	K09836	
R05864	K18364	4.2.1.132
R05297		4.2.1.80
R05988	K00717	2.4.1.68
R05959	K03373,K03374,K03375,K03376	2.4.3.7
R01036	K00011	1.1.1.21,1.1.1.72
R09648		3.5.1.100
R02789		2.4.1.149
R03623		2.1.1.65
R02195		2.3.1.99
R09486		1.2.7.10
R08949	K00497	1.14.15.4
R07920	K12731	2.1.1.160
R07913	K12939	2.4.1.238,2.4.1.249
R09702	K20614	4.2.1.127
